
"Ums�tze Girokonto";"Zeitraum: 180 Tage";
"Neuer Kontostand";"-5.323,60 EUR";

"Buchungstag";"Wertstellung (Valuta)";"Vorgang";"Buchungstext";"Umsatz in EUR";
"26.02.2025";"26.02.2025";"Auszahlung GAA";"Auftraggeber: COMMERZBANK Buchungstext: Bargeldauszahlung Commerzbank///DE 2025-02-26T15:42:27 KFN 7 TK 3923 Ref. G5336213V9276018/86";"-70,00";
"25.02.2025";"25.02.2025";"Lastschrift / Belastung";"Auftraggeber: ALDI NORD Buchungstext: ALDI SAGT DANKE. 37194265//Dresden/D 2025-02-25T10:24:36 KFN 7 TK 3923 Ref. H6336213W0387129/87";"-31,82";
"25.02.2025";"25.02.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Tchibo>Dresden DE        2025-02-25T12:37:45                 ";"-25,90";
"24.02.2025";"24.02.2025";"�bertrag / �berweisung";"Empf�nger: KFZ-WerkstattKto/IBAN: DE72850503000045678912 BLZ/BIC: OSDDDE81XXX  Buchungstext: Inspektion DD 2271 Rechnung-Nr. 874321 Ref. I7336213W1498230/88";"-365,45";
"24.02.2025";"24.02.2025";"Lastschrift / Belastung";"Auftraggeber: Telekom Deutschland GmbH Buchungstext: Rechnung 54321987 03/2025 Internet+Telefon Ref. J8336213W2509341/89";"-39,95";
"23.02.2025";"23.02.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-02-23T14:25:48 KFN 7 TK 3923 Ref. K9336213W3610452/90";"-85,32";
"23.02.2025";"23.02.2025";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank///DE 2025-02-23T11:23:47 KFN 7 TK 3923 Ref. L0336213W4721563/91";"-150,00";
"22.02.2025";"22.02.2025";"Lastschrift / Belastung";"Auftraggeber: JET DANKT FUER IHREN KAUF. Buchungstext: 220217456982342392311062264 ELV8128 2897 22.02 17:45 ME9 Ref. M1336213W5832674/92";"-62,45";
"22.02.2025";"22.02.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: BAUHAUS>Dresden DE        2025-02-22T10:45:23                 ";"-124,75";
"21.02.2025";"21.02.2025";"�bertrag / �berweisung";"Auftraggeber: Schmidt AnnaKto/IBAN: DE37100500000054329876 BLZ/BIC: BELADEBEXXX  Buchungstext: R�ckzahlung Einkauf Ref. N2336213W6943785/93";"34,50";
"21.02.2025";"21.02.2025";"Lastschrift / Belastung";"Auftraggeber: ROSSMANN 2478 DRESDEN Buchungstext: ROSSMANN 2478 DRESDEN 21022240525856 4392321002480 ELV71412269 21.02 15. 27 Ref. O3336213W7054896/94";"-18,75";
"20.02.2025";"20.02.2025";"Lastschrift / Belastung";"Auftraggeber: KAUFLAND Buchungstext: KAUFLAND SAGT DANKE. 37246159//Dresden 2025-02-20T17:45:32 KFN 7 TK 3923 Ref. P4336213W8165907/95";"-74,25";
"20.02.2025";"20.02.2025";"Auszahlung GAA";"Auftraggeber: SPARKASSE DRESDEN Buchungstext: Bargeldauszahlung Sparkasse///DE 2025-02-20T11:24:35 KFN 7 TK 3923 Ref. Q5336213W9276018/96";"-100,00";
"19.02.2025";"19.02.2025";"Lastschrift / Belastung";"Auftraggeber: PayPal (Europe) S.a r.l. et Cie, S.C.A. Buchungstext: 1053230836590 PP.9821.PP . Amazon EU S.a r.l., Ihr Einkauf bei Amazon EU S.a r.l Ref. R6336213X0387129/97";"-45,99";
"19.02.2025";"19.02.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Starbucks>Dresden DE        2025-02-19T09:12:34                 ";"-5,95";
"18.02.2025";"18.02.2025";"�bertrag / �berweisung";"Empf�nger: AOK SachsenKto/IBAN: DE89850500003000883344 BLZ/BIC: OSDDDE81XXX  Buchungstext: KV-Beitrag 03/2025 Ref. S7336213X1498230/98";"-195,50";
"18.02.2025";"18.02.2025";"Lastschrift / Belastung";"Auftraggeber: REWE Dresden GmbH Buchungstext: REWE SAGT DANKE. 82751643//Dresden/D 2025-02-18T16:45:28 KFN 7 TK 3923 Ref. T8336213X2509341/99";"-45,85";
"17.02.2025";"17.02.2025";"Lastschrift / Belastung";"Auftraggeber: DM 2487 DRESDEN Buchungstext: DM 2487 DRESDEN 17022240625857 4392321004876 ELV71412270 17.02 12. 45 Ref. U9336213X3610452/100";"-27,65";
"17.02.2025";"17.02.2025";"Auszahlung GAA";"Auftraggeber: VOLKSBANK DRESDEN Buchungstext: Bargeldauszahlung Volksbank///DE 2025-02-17T14:23:27 KFN 7 TK 3923 Ref. V0336213X4721563/101";"-50,00";
"16.02.2025";"16.02.2025";"Lastschrift / Belastung";"Auftraggeber: Mehmet Yilmaz Buchungstext: D�ner Haus//Dresden/DE 2025-02-16T13:12:42 KFN 7 TK 3923 Ref. W1336213X5832674/102";"-8,50";
"16.02.2025";"16.02.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Media Markt>Dresden DE        2025-02-16T15:45:27                 ";"-149,99";
"15.02.2025";"15.02.2025";"�bertrag / �berweisung";"Empf�nger: GEZ Beitragsservice ARD ZDF DRKto/IBAN: DE46300606010023456789 BLZ/BIC: DAAEDEDDXXX  Buchungstext: Rundfunkbeitrag 01-03/2025 BeitragNr. 721498536 Ref. X2336213X6943785/103";"-55,08";
"15.02.2025";"15.02.2025";"Lastschrift / Belastung";"Auftraggeber: EDEKA Stefan M�ller oHG Buchungstext: EDEKA SAGT DANKE. 53766597//Dresden/D 2025-02-15T11:27:35 KFN 7 TK 3923 Ref. Y3336213X7054896/104";"-95,45";
"14.02.2025";"14.02.2025";"Lastschrift / Belastung";"Auftraggeber: Blumen Paradies GmbH Buchungstext: Blumen Paradies Dresden 14.02.2025 10:24 KNr.7362514 Ref. Z4336213X8165907/105";"-25,90";
"14.02.2025";"14.02.2025";"Auszahlung GAA";"Auftraggeber: COMMERZBANK Buchungstext: Bargeldauszahlung Commerzbank///DE 2025-02-14T12:42:38 KFN 7 TK 3923 Ref. A5336213X9276018/106";"-100,00";
"13.02.2025";"13.02.2025";"Lastschrift / Belastung";"Auftraggeber: ALDI S�D Buchungstext: ALDI SAGT DANKE. 62487539//Dresden/D 2025-02-13T15:42:37 KFN 7 TK 3923 Ref. B6336213Y0387129/107";"-34,26";
"13.02.2025";"13.02.2025";"Kartenverf�gung";"Kto/IBAN: 1  Buchungstext: Ristorante Da Marco>Dresden DE        2025-02-13T19:45:36                 ";"-78,50";
"12.02.2025";"12.02.2025";"�bertrag / �berweisung";"Empf�nger: BuchhandlungKto/IBAN: DE57850503000067891234 BLZ/BIC: OSDDDE81XXX  Buchungstext: Rechnung Nr. 538219 Ref. C7336213Y1498230/108";"-45,80";
"12.02.2025";"12.02.2025";"Lastschrift / Belastung";"Auftraggeber: ROSSMANN 2478 DRESDEN Buchungstext: ROSSMANN 2478 DRESDEN 12022240525857 4392321002481 ELV71412271 12.02 13. 45 Ref. D8336213Y2509341/109";"-19,45";
"11.02.2025";"11.02.2025";"Lastschrift / Belastung";"Auftraggeber: REWE Dresden GmbH Buchungstext: REWE SAGT DANKE. 82751643//Dresden/D 2025-02-11T17:42:28 KFN 7 TK 3923 Ref. E9336213Y3610452/110";"-54,75";
"11.02.2025";"11.02.2025";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank///DE 2025-02-11T10:23:47 KFN 7 TK 3923 Ref. F0336213Y4721563/111";"-50,00";


"Alter Kontostand";"-590,85 EUR";

